trial_number,state,role,lr_multiplier,weight_decay,dropout,end_lr_fraction,final_val_mean_auroc,final_shd_auroc,best_reported_auroc,n_epochs_run,duration_s,timestamp
32,PRUNED,trial,0.12755543873440373,0.00023276793584634146,0.4510972106810015,0.0011338589361307105,,,0.7973083333333334,2,133.7,2026-09-24 04:32:56
33,PRUNED,trial,0.11402111180990065,0.00028695606824717017,0.5212206241500513,0.0023672433779450223,,,0.7969416666666665,2,135.4,2026-09-24 04:35:11
34,PRUNED,trial,0.19530262876703056,5.579712824972706e-05,0.5244849666004711,0.004581309966282568,,,0.7953583333333333,1,66.5,2026-09-24 04:36:18
35,PRUNED,trial,0.10226874428843338,0.001638820627207563,0.5622619772551882,0.0015974561393497155,,,0.799125,2,133.9,2026-09-24 04:38:32
36,PRUNED,trial,0.1929924255512446,0.00020943638325692982,0.5105072811721306,0.002987104941848562,,,0.7976333333333333,2,128.2,2026-09-24 04:40:41
37,PRUNED,trial,0.14756071871296875,3.654855020801269e-05,0.5554845741304785,0.0010410144125534142,,,0.7987500000000001,2,125.8,2026-09-24 04:42:47
38,COMPLETE,trial,0.14715768905770904,0.00013662974556643564,0.5721835881548155,0.002024155937758929,0.795167,0.8211,0.79805,5,325.0,2026-09-24 04:48:12
39,PRUNED,trial,0.10723448410722407,0.00011975392575306309,0.5545830982353079,0.006863427816843121,,,0.7966416666666666,1,64.5,2026-09-24 04:49:17
40,PRUNED,trial,0.15667569854062174,0.001191417923915657,0.48616808598236216,0.002046919508337081,,,0.7964916666666667,1,67.6,2026-09-24 04:50:25
41,PRUNED,trial,0.22754342673109443,0.000627955243160321,0.5750668385571169,0.0017146191805014553,,,0.79895,2,135.6,2026-09-24 04:52:41
42,PRUNED,trial,0.30001074512880027,7.15179162952971e-05,0.5810257004477141,0.004542982887455339,,,0.7937166666666666,1,66.0,2026-09-24 04:53:47
43,PRUNED,trial,0.13022048793263252,0.00017649715908287823,0.598424544467796,0.0015956163027728623,,,0.7965499999999999,1,63.4,2026-09-24 04:54:51
44,PRUNED,trial,0.10905421746572781,0.0001789038073522658,0.5403095599523711,0.001107788741667508,,,0.7988833333333333,4,256.8,2026-09-24 04:59:08
45,COMPLETE,trial,0.12289879173848299,1.6205811884015815e-05,0.5803467383415462,0.0017584020192634687,0.795558,0.822,0.7981916666666665,5,317.6,2026-09-24 05:04:26
46,PRUNED,trial,0.2010785718247404,6.12227776449491e-05,0.5860229358205717,0.0021068176035624626,,,0.7973499999999999,2,128.0,2026-09-24 05:06:34
47,PRUNED,trial,0.15562787037448325,0.00011716831773490147,0.4792384514340651,0.007269056470210231,,,0.7984000000000001,2,136.0,2026-09-24 05:08:51
48,PRUNED,trial,0.16751823545804959,0.00016755074893042127,0.511198463109847,0.0013689581328022967,,,0.7969750000000001,4,263.8,2026-09-24 05:13:15
49,PRUNED,trial,0.22981663812141617,0.00010191578151108702,0.5388331046434566,0.0015868461654430814,,,0.7959083333333332,1,65.6,2026-09-24 05:14:21
50,PRUNED,trial,0.1113633868330617,0.0001380101152943985,0.5956458478179014,0.0033182719108859893,,,0.7992583333333334,2,128.9,2026-09-24 05:16:30
51,PRUNED,trial,0.25303636958670217,1.2822326225834239e-05,0.5196954992611778,0.0016190575805760303,,,0.8011333333333331,2,131.2,2026-09-24 05:18:42
52,COMPLETE,trial,0.1269017178529865,5.81191243939191e-05,0.5663919391959373,0.014343095842085448,0.795442,0.8215,0.8000333333333333,5,329.4,2026-09-24 05:24:11
53,COMPLETE,trial,0.10072054162992503,5.978556298087516e-05,0.5907602488957739,0.0012131700744679634,0.795783,0.8217,0.7974916666666667,5,331.0,2026-09-24 05:29:43
54,COMPLETE,trial,0.11686951498570532,0.0003923424140395943,0.5933957112853245,0.0011790072023598528,0.7956,0.8209,0.7992500000000001,5,315.1,2026-09-24 05:34:58
55,PRUNED,trial,0.14993520568522223,0.0006526677095893104,0.595059398365758,0.0022848465268186075,,,0.7971083333333334,1,63.8,2026-09-24 05:36:03
56,PRUNED,trial,0.11806365278136716,2.0345944387843645e-05,0.5622125660004338,0.0016411165293088003,,,0.7976999999999999,4,272.6,2026-09-24 05:40:36
57,COMPLETE,trial,0.11729468437476669,6.248704303549958e-05,0.5630590351113487,0.04292422320432668,0.794975,0.821,0.7989250000000001,5,327.4,2026-09-24 05:46:04
58,PRUNED,trial,0.16217570020519925,2.9891024709832144e-05,0.48693180242545997,0.0016045008909216492,,,0.7976166666666668,4,268.9,2026-09-24 05:50:33
59,COMPLETE,trial,0.10600332229324237,0.0010077705245268563,0.5861426907323002,0.003207974569306068,0.794725,0.822,0.7989416666666668,5,322.3,2026-09-24 05:55:56
60,PRUNED,trial,0.1288396793863445,0.0007537018408185518,0.525755309216638,0.002924231975436488,,,0.7982,2,133.2,2026-09-24 05:58:09
61,PRUNED,trial,0.10724313515803068,0.0009050878382054318,0.5089871419898868,0.0014606376579722135,,,0.7971416666666666,1,66.4,2026-09-24 05:59:16
62,PRUNED,trial,0.12313681369342179,3.1987161459768077e-06,0.5890954789437445,0.001538501217667417,,,0.7999916666666667,2,135.4,2026-09-24 06:01:32
63,PRUNED,trial,0.1306549245703221,4.29104044178189e-05,0.5298272018054848,0.0021270912176808154,,,0.8000666666666666,4,259.9,2026-09-24 06:05:52
64,COMPLETE,trial,0.1109945251442064,6.853963817994265e-05,0.5991015214744404,0.0010229238984170248,0.795542,0.8216,0.7993333333333332,5,338.5,2026-09-24 06:11:31
65,PRUNED,trial,0.1427995486546722,0.0002217660591232042,0.5806297934617098,0.0010143031862697917,,,0.800325,4,254.0,2026-09-24 06:15:45
66,PRUNED,trial,0.18202593770195175,9.807061670625396e-05,0.5836638353279356,0.0010119262412864188,,,0.7992583333333333,2,127.0,2026-09-24 06:17:53
67,PRUNED,trial,0.1491516279674747,0.00010741100227223614,0.5397530336013159,0.0010808355165623758,,,0.7972333333333333,1,63.5,2026-09-24 06:18:56
68,PRUNED,trial,0.11209825076254418,0.0004856932537329126,0.5688426432732475,0.001211010622985541,,,0.7971333333333334,1,66.6,2026-09-24 06:20:03
69,COMPLETE,trial,0.1294574633140902,5.929499587695451e-05,0.5905487343860087,0.0012775328163515981,0.795375,0.8226,0.7993916666666667,5,327.7,2026-09-24 06:25:31
70,COMPLETE,trial,0.14525388571276485,0.00022127973917161146,0.5393468820494568,0.0011820593631030603,0.793692,0.8202,0.7983666666666668,5,332.7,2026-09-24 06:31:05
71,PRUNED,trial,0.1315783281640002,0.00032099237524711813,0.5540015636847849,0.002026399563306406,,,0.7974416666666667,2,180.1,2026-09-24 06:34:05
72,PRUNED,trial,0.11267206206094936,0.00011200220209086496,0.5727198928548332,0.001594905842892469,,,0.7959666666666667,1,86.8,2026-09-24 06:35:34
73,PRUNED,trial,0.12252992893994763,7.33297850871499e-05,0.4996454637968974,0.0014525920292678023,,,0.7961583333333332,1,67.9,2026-09-24 06:36:43
74,PRUNED,trial,0.10573327640133753,0.00034698354101139625,0.5006613873538431,0.0013731044047223886,,,0.7967583333333335,1,66.0,2026-09-24 06:37:49
75,PRUNED,trial,0.13628835635621894,5.555420475550859e-05,0.5931564653576883,0.0015662076952159883,,,0.7983750000000002,2,132.6,2026-09-24 06:40:02
