target,feature,group_lead,group_type,importance_mean,importance_std
shd_moderate_or_greater_flag,V2_ecg_band_power,V2,ecg_band_power,0.000497861080821349,0.00015973923261619998
shd_moderate_or_greater_flag,V2_hf_power,V2,hf_power,0.0002702053514918257,0.0001193619635883708
shd_moderate_or_greater_flag,V2_total_power,V2,total_power,-1.4602603304902928e-05,8.177030280672697e-05
shd_moderate_or_greater_flag,V2_dominant_freq,V2,dominant_freq,-2.4668105321756784e-05,2.348276693843726e-05
shd_moderate_or_greater_flag,V2_spectral_entropy,V2,spectral_entropy,0.00019742109637712612,0.00011363758673652481
shd_moderate_or_greater_flag,V3_mean,V3,mean,8.895006138422978e-05,0.0001929840720268605
shd_moderate_or_greater_flag,V3_std,V3,std,-0.0003838997720011283,0.00010718667586719893
shd_moderate_or_greater_flag,V3_min,V3,min,1.6165806269530238e-05,0.0005383222471317945
shd_moderate_or_greater_flag,V3_max,V3,max,-5.063252529726725e-05,2.7655436826873436e-05
shd_moderate_or_greater_flag,V3_rms,V3,rms,-3.06921557713169e-05,2.0271539700029977e-05
shd_moderate_or_greater_flag,V3_energy,V3,energy,-4.2320860752953495e-06,1.2950468749695023e-05
shd_moderate_or_greater_flag,V3_skewness,V3,skewness,2.8785810692233406e-05,0.00014050417633666007
shd_moderate_or_greater_flag,V3_kurtosis,V3,kurtosis,0.00015605340816369218,5.236721257230446e-05
shd_moderate_or_greater_flag,V3_zcr,V3,zcr,5.680908335237156e-06,8.595797688820789e-05
shd_moderate_or_greater_flag,V3_lf_power,V3,lf_power,0.004229112176969818,0.0008562913398575103
shd_moderate_or_greater_flag,V3_ecg_band_power,V3,ecg_band_power,4.1596449622827156e-05,1.6826624569010813e-05
shd_moderate_or_greater_flag,V3_hf_power,V3,hf_power,0.00023825500796841314,0.000234953064358602
shd_moderate_or_greater_flag,V3_total_power,V3,total_power,-7.606316865058638e-05,6.53296420375684e-05
shd_moderate_or_greater_flag,V3_dominant_freq,V3,dominant_freq,6.119367703460998e-05,4.663794437078935e-05
shd_moderate_or_greater_flag,V3_spectral_entropy,V3,spectral_entropy,0.00012402681083716337,9.958857627726859e-05
shd_moderate_or_greater_flag,V4_mean,V4,mean,0.0010835284159797175,0.0004624533118092165
shd_moderate_or_greater_flag,V4_std,V4,std,0.0,0.0
shd_moderate_or_greater_flag,V4_min,V4,min,0.0007506805651931403,0.000296508660614553
shd_moderate_or_greater_flag,V4_max,V4,max,0.00042820323163610395,0.00020392173933391262
shd_moderate_or_greater_flag,V4_rms,V4,rms,-7.549126512707005e-06,1.5098253025414011e-05
shd_moderate_or_greater_flag,V4_energy,V4,energy,0.0,0.0
shd_moderate_or_greater_flag,V4_skewness,V4,skewness,-0.00017912018361927463,0.0001416149122590133
shd_moderate_or_greater_flag,V4_kurtosis,V4,kurtosis,0.000152011956596243,7.781172870283744e-05
shd_moderate_or_greater_flag,V4_zcr,V4,zcr,-4.0681403985010076e-05,5.545106623976774e-05
shd_moderate_or_greater_flag,V4_lf_power,V4,lf_power,-0.00019700170045984234,0.00011579790923101477
shd_moderate_or_greater_flag,V4_ecg_band_power,V4,ecg_band_power,3.473360733865505e-05,0.0002946838409616468
shd_moderate_or_greater_flag,V4_hf_power,V4,hf_power,6.241373788513638e-05,9.490616776895433e-05
