target,tier,method,brier,brier_skill,ece,mce,n_positive,n_total
tricuspid_regurgitation_moderate_or_greater_flag,combined,raw,0.05514,0.09104,0.0253,0.07849,353,5442
tricuspid_regurgitation_moderate_or_greater_flag,combined,platt,0.05543,0.08376,0.00991,0.02377,176,2721
tricuspid_regurgitation_moderate_or_greater_flag,combined,isotonic,0.05509,0.08939,0.00757,0.01855,176,2721
pulmonary_regurgitation_moderate_or_greater_flag,combined,raw,0.00664,-0.81312,0.00574,0.03907,20,5442
pulmonary_regurgitation_moderate_or_greater_flag,combined,platt,,,,,10,2721
pulmonary_regurgitation_moderate_or_greater_flag,combined,isotonic,,,,,10,2721
rv_systolic_dysfunction_moderate_or_greater_flag,combined,raw,0.05774,0.18745,0.0264,0.04353,419,5442
rv_systolic_dysfunction_moderate_or_greater_flag,combined,platt,0.05728,0.1957,0.00494,0.01801,210,2721
rv_systolic_dysfunction_moderate_or_greater_flag,combined,isotonic,0.05702,0.19946,0.00456,0.01578,210,2721
pericardial_effusion_moderate_large_flag,combined,raw,0.16675,-12.32041,0.35617,0.67462,69,5442
pericardial_effusion_moderate_large_flag,combined,platt,0.01219,0.01229,0.00517,0.01339,34,2721
pericardial_effusion_moderate_large_flag,combined,isotonic,0.01215,0.01519,0.00227,0.00401,34,2721
pasp_gte_45_flag,combined,raw,0.09873,0.11806,0.03831,0.04866,699,5442
pasp_gte_45_flag,combined,platt,0.09723,0.13044,0.00889,0.02481,349,2721
pasp_gte_45_flag,combined,isotonic,0.09824,0.12136,0.01467,0.02962,349,2721
tr_max_gte_32_flag,combined,raw,0.06128,0.04487,0.02144,0.07314,375,5442
tr_max_gte_32_flag,combined,platt,0.06182,0.03403,0.01651,0.07583,187,2721
tr_max_gte_32_flag,combined,isotonic,0.06297,0.01606,0.01946,0.09167,187,2721
shd_moderate_or_greater_flag,demographics,raw,0.22358,0.08564,0.08619,0.12148,2318,5442
shd_moderate_or_greater_flag,demographics,platt,0.21399,0.12486,0.01559,0.03616,1159,2721
shd_moderate_or_greater_flag,demographics,isotonic,0.21471,0.12191,0.02151,0.0757,1159,2721
lvef_lte_45_flag,demographics,raw,0.2226,-0.52966,0.28619,0.36319,962,5442
lvef_lte_45_flag,demographics,platt,0.13664,0.06107,0.01977,0.03114,481,2721
lvef_lte_45_flag,demographics,isotonic,0.1368,0.05997,0.01342,0.03828,481,2721
lvwt_gte_13_flag,demographics,raw,0.23284,-0.48351,0.28336,0.37866,1061,5442
lvwt_gte_13_flag,demographics,platt,0.1504,0.0411,0.01888,0.04649,530,2721
lvwt_gte_13_flag,demographics,isotonic,0.15034,0.04143,0.01735,0.08354,530,2721
aortic_stenosis_moderate_or_greater_flag,demographics,raw,0.18217,-2.65868,0.28955,0.63865,286,5442
aortic_stenosis_moderate_or_greater_flag,demographics,platt,0.04332,0.12989,0.00798,0.01645,143,2721
aortic_stenosis_moderate_or_greater_flag,demographics,isotonic,0.04413,0.11371,0.00655,0.01744,143,2721
aortic_regurgitation_moderate_or_greater_flag,demographics,raw,0.01217,-0.01604,0.00828,0.03169,66,5442
aortic_regurgitation_moderate_or_greater_flag,demographics,platt,0.01197,0.00073,0.00568,0.00936,33,2721
aortic_regurgitation_moderate_or_greater_flag,demographics,isotonic,0.01193,0.00434,0.00434,0.00737,33,2721
mitral_regurgitation_moderate_or_greater_flag,demographics,raw,0.23444,-3.03572,0.4079,0.54596,337,5442
mitral_regurgitation_moderate_or_greater_flag,demographics,platt,0.05707,0.01482,0.00766,0.0139,168,2721
mitral_regurgitation_moderate_or_greater_flag,demographics,isotonic,0.05713,0.0138,0.00869,0.01738,168,2721
tricuspid_regurgitation_moderate_or_greater_flag,demographics,raw,0.23365,-2.85189,0.40813,0.53848,353,5442
tricuspid_regurgitation_moderate_or_greater_flag,demographics,platt,0.06009,0.00675,0.01669,0.0429,176,2721
tricuspid_regurgitation_moderate_or_greater_flag,demographics,isotonic,0.0602,0.00497,0.0184,0.05432,176,2721
pulmonary_regurgitation_moderate_or_greater_flag,demographics,raw,0.00417,-0.13816,0.00665,0.04306,20,5442
pulmonary_regurgitation_moderate_or_greater_flag,demographics,platt,,,,,10,2721
pulmonary_regurgitation_moderate_or_greater_flag,demographics,isotonic,,,,,10,2721
rv_systolic_dysfunction_moderate_or_greater_flag,demographics,raw,0.21938,-2.08706,0.37231,0.51866,419,5442
rv_systolic_dysfunction_moderate_or_greater_flag,demographics,platt,0.06934,0.0264,0.00957,0.02939,210,2721
rv_systolic_dysfunction_moderate_or_greater_flag,demographics,isotonic,0.06993,0.01816,0.00335,0.01524,210,2721
pericardial_effusion_moderate_large_flag,demographics,raw,0.20688,-15.52569,0.42068,0.64917,69,5442
pericardial_effusion_moderate_large_flag,demographics,platt,0.01228,0.00469,0.00607,0.01743,34,2721
pericardial_effusion_moderate_large_flag,demographics,isotonic,0.01231,0.00267,0.00447,0.0101,34,2721
pasp_gte_45_flag,demographics,raw,0.23289,-1.08036,0.3487,0.41694,699,5442
pasp_gte_45_flag,demographics,platt,0.10776,0.03618,0.01424,0.02549,349,2721
pasp_gte_45_flag,demographics,isotonic,0.10812,0.03304,0.00755,0.01767,349,2721
tr_max_gte_32_flag,demographics,raw,0.23372,-2.64276,0.40037,0.54474,375,5442
